,Tweet index,Label,Tweet text,split,premise,hyp,label
23,24,0,@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!,train,Joyce tweeted: '@RushOrderTees THX4FLW! FLWtheMUSIC @ElektrikEventz @ElektrikMetro WE R #ElektrikBLOOM #ElektrikFANTASY #iwant2DRIFT #Elev8TheUnderground!',Joyce was ironic,False
24,25,1,Love these cold winter mornings :grimacing_face: best feeling everrrrrrr !,train,Jolie tweeted: 'Love these cold winter mornings :grimacing_face: best feeling everrrrrrr !',Jolie was ironic,True
25,26,0,Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32,train,Christian tweeted: 'Amazingly http://t.co/NEioZuNbLD is not owned by #BHP. They are going to have to shell out some decent money for it. #BHPBilliton #South32',Christian was ironic,False
26,27,0,Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen :heavy_black_heart:️:heavy_black_heart:️ http://t.co/queL09fqyr,train,Jaylen tweeted: 'Wish she could have told me herself. @NicoleScherzy #nicolescherzinger #OneLove #myfav #MyQueen :heavy_black_heart:️:heavy_black_heart:️ http://t.co/queL09fqyr',Jaylen was ironic,False
27,28,0,The rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat:,train,Tanner tweeted: 'The rain has made extra extra lazy:smiling_face_with_open_mouth_and_cold_sweat:',Tanner was ironic,False
28,29,0,"I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat",train,"Soren tweeted: 'I was doing great with this summary of my year until I got to June 27th, and the weekend of @Hartswormx3 's birthday. #rivertrip #groupchat'",Soren was ironic,False
29,30,0,"see, that MIGHT show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @serpentina66",train,"Jeremiah tweeted: 'see, that MIGHT show up on a background check, and you'd be denied its a catch 22 we have the right to self protection @serpentina66'",Jeremiah was ironic,False
30,31,1,Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess ,train,Joseph tweeted: 'Smh never knew something could be 80% halal....Been muslim my whole life but somehow i've learned something new i guess ',Joseph was ironic,True
31,32,1,A wonderful day of starting work at 6am ,train,Ayden tweeted: 'A wonderful day of starting work at 6am ',Ayden was ironic,True
32,33,0,i feel like whole life is about waiting waiting and waiting,train,Alejandro tweeted: 'i feel like whole life is about waiting waiting and waiting',Alejandro was ironic,False
33,34,0,@Pure_playa85 lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip,train,Carly tweeted: '@Pure_playa85 lol :grinning_face_with_smiling_eyes:.. Will let my kids know when they get up in the morning.. Thanks for the tip',Carly was ironic,False
34,35,1,"@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob  #LesterToChicago",train,"Aubriella tweeted: '@RedSox you guys sure screwed this up royally. I'm happy for Lester, the brain trust over there sucks. #nicejob  #LesterToChicago'",Aubriella was ironic,True
35,36,0,"#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W",train,"Benjamin tweeted: '#Aussie #gunman #was  #on terrorist #watch #list, PM #says: SYDNEY – The gunman who took 17 hostages in Sydney... http://t.co/ibnxdPtu3W'",Benjamin was ironic,False
36,37,1,"Twig is now ""Sprig""—3 sec limit on new social video platform  #techtalk #editorspick #sillyvine #Tr... https://t.co/0DMkcXpYzq",train,"Vance tweeted: 'Twig is now ""Sprig""—3 sec limit on new social video platform  #techtalk #editorspick #sillyvine #Tr... https://t.co/0DMkcXpYzq'",Vance was ironic,True
37,38,0,@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..,train,Elijah tweeted: '@HEELTeacher and what will that achieve? Seriously?To be fired.all the guys who had the balls to call them out are gone..',Elijah was ironic,False
38,39,1,Yay for another work at 4am day :neutral_face: ,train,Daniel tweeted: 'Yay for another work at 4am day :neutral_face: ',Daniel was ironic,True
39,40,1,Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep,train,Elijah tweeted: 'Physical therapy at 8 am is just what I want to be doing with my Friday  #iwanttosleep',Elijah was ironic,True
40,41,1,Omg @FloptimusCrime didn't tell @giantfootyguy he was in town :face_screaming_in_fear: #trueFriend ,train,Samuel tweeted: 'Omg @FloptimusCrime didn't tell @giantfootyguy he was in town :face_screaming_in_fear: #trueFriend ',Samuel was ironic,True
41,42,1,"I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^  #LaughNow .o.",train,"Elsa tweeted: 'I THOUGHT WHAT WE HAD WAS REAL, HOW COULD YOU BE FINE? COZ I'M NOT FINE AT ALL Oh wait. Fixed the caps lock ^.^  #LaughNow .o.'",Elsa was ironic,True
42,43,1,"HaHaHaHa!! #hypocrisy  ""MT @Independent: Katie Hopkins calls Russell Brand a bully..........: http://t.co/DZ05xHiuwl""",train,"Brenda tweeted: 'HaHaHaHa!! #hypocrisy  ""MT @Independent: Katie Hopkins calls Russell Brand a bully..........: http://t.co/DZ05xHiuwl""'",Brenda was ironic,True
43,44,1,That moment when you have so much stuff to do but you open @tumblr ... #productivity  #tumblr,train,Colton tweeted: 'That moment when you have so much stuff to do but you open @tumblr ... #productivity  #tumblr',Colton was ironic,True
44,45,0,Lol! I m enjoying it:two_women_holding_hands: #Talks #Crazyness #SheNeverLeft  sleepy!! :white_smiling_face:,train,Annamary tweeted: 'Lol! I m enjoying it:two_women_holding_hands: #Talks #Crazyness #SheNeverLeft  sleepy!! :white_smiling_face:',Annamary was ironic,False
45,46,1,Luv this ,train,Cayden tweeted: 'Luv this ',Cayden was ironic,True
46,47,1,": When some naturopaths sell ""aromatic"" herbs the way apothecaries sell noxious poisons. #Naturopath=#Apothecary #Herb=#Poison",train,"Eduardo tweeted: ': When some naturopaths sell ""aromatic"" herbs the way apothecaries sell noxious poisons. #Naturopath=#Apothecary #Herb=#Poison'",Eduardo was ironic,True
47,48,0,@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 @Lloydgallagher3 @bigtant1986,train,Kevin tweeted: '@dixiessixty: Goal of the Season 1970: GOAL 1. Jon Sammels #ARSENAL vs #manutd https://t.co/W1p9bptdT3 @Lloydgallagher3 @bigtant1986',Kevin was ironic,False
48,49,0,"really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48",train,"Anabella tweeted: 'really, what else can a fish be besides a fish? @RBRNetwork1 @TheOldBreed1775 @IndyEnigma @diverdown48'",Anabella was ironic,False
49,50,0,@malesurvivor72 I think it's a safe bet it won't fit the crime.,train,Parker tweeted: '@malesurvivor72 I think it's a safe bet it won't fit the crime.',Parker was ironic,False
50,51,1,It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy ,train,Sorin tweeted: 'It will be impossible for me to be late if I start to dress up right now. #studing #university #lazy ',Sorin was ironic,True
51,52,1,When you're already running late and then your car won't start <<< #FantasticFriday ,train,Cristiano tweeted: 'When you're already running late and then your car won't start <<< #FantasticFriday ',Cristiano was ironic,True
52,53,1,i decided to become my own boss to have more free time.. now i have no time left whatsoever. ,train,Hanna tweeted: 'i decided to become my own boss to have more free time.. now i have no time left whatsoever. ',Hanna was ironic,True
53,54,0,loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection,train,Kaleb tweeted: 'loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection loyalty vs. self protection',Kaleb was ironic,False
54,55,0,American Kids starting playing and now I'm super missing #summer2k14 #kennychesney,train,Gavin tweeted: 'American Kids starting playing and now I'm super missing #summer2k14 #kennychesney',Gavin was ironic,False
55,56,0,@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?,train,Henry tweeted: '@corporateknight don't know how#Monsanto # among 100 most sustainable Cos in the world sure all parameters are measured#net positive?',Henry was ironic,False
56,57,0,"None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum http://t.co/ituc6zpusB",train,"Jaden tweeted: 'None of the big, disruptive innovations in our lives have come out of brainstorming. -Bruce Nussbaum http://t.co/ituc6zpusB'",Jaden was ironic,False
57,58,0,that way people get to understand disabilities and not stare at us funny wen we out and about#IDPwD#disability,train,Muhammed tweeted: 'that way people get to understand disabilities and not stare at us funny wen we out and about#IDPwD#disability',Muhammed was ironic,False
58,59,1,@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. ,train,Avalyn tweeted: '@TheoCorleone @david_maclellan Shit! I better shut my stupid girly mouth because im so concerned about what men might think of me. ',Avalyn was ironic,True
59,60,0,Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?,train,Mollie tweeted: 'Why does my tongue feel it necessary to try and touch the high speed tool my dentist has put in my mouth?',Mollie was ironic,False
60,61,0,Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue,train,Nahla tweeted: 'Tell me the #Quintessential #Aussie now isn't a Govt paid job & then have the hyde to buy overseas online and pay no GST . mmm #SadButTrue',Nahla was ironic,False
61,62,0,"@Parlett316 ""Dirk's got a lot of moves I'm trying to steal."" - Kevin Durant on his one-legged fadeway",train,"Wyatt tweeted: '@Parlett316 ""Dirk's got a lot of moves I'm trying to steal."" - Kevin Durant on his one-legged fadeway'",Wyatt was ironic,False
62,63,1,About once a yr I get a little nutty and reach for the orange marmalade. #livingontheedge  http://t.co/sF9o6OWE1v,train,Zaida tweeted: 'About once a yr I get a little nutty and reach for the orange marmalade. #livingontheedge  http://t.co/sF9o6OWE1v',Zaida was ironic,True
63,64,1,"Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!   http://t.co/vFP1ehx7yL",train,"Jacob tweeted: 'Rogers, that smile just so accurately captures my reaction when I receive an extra high phone bill!   http://t.co/vFP1ehx7yL'",Jacob was ironic,True
64,65,1,"Whatever happened to the Guano Apes? Did they ever make it ""Big in Japan""? ",train,"Steven tweeted: 'Whatever happened to the Guano Apes? Did they ever make it ""Big in Japan""? '",Steven was ironic,True
65,66,0,Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design feeling the... http://t.co/DELfxN0BpI,train,Sylvie tweeted: 'Bmw i8 sexy az hell but too slow for the dinero 12.4 in the quarter mile slow #fan of the design feeling the... http://t.co/DELfxN0BpI',Sylvie was ironic,False
66,67,0,Let your humility guard your pride ... Vanity shouldn't be allowed to be with such a delicate thing.,train,Aleigha tweeted: 'Let your humility guard your pride ... Vanity shouldn't be allowed to be with such a delicate thing.',Aleigha was ironic,False
67,68,0,"Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college",train,"Kevin tweeted: 'Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college'",Kevin was ironic,False
68,69,1,I asked God to protect me from my enemies .. shortly after I started losing friends :flushed_face::hundred_points_symbol:  or #naah,train,Andrew tweeted: 'I asked God to protect me from my enemies .. shortly after I started losing friends :flushed_face::hundred_points_symbol:  or #naah',Andrew was ironic,True
69,70,1,Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW,train,Drevon tweeted: 'Just delivered @DominiqueAnsel #cronuts to @BouchonBakeryRC hmmm  its for a customer I hope!!! http://t.co/KDx0FhVqCW',Drevon was ironic,True
70,71,1,Such .   You still have to #praisehim ;),train,Miguel tweeted: 'Such .   You still have to #praisehim ;)',Miguel was ironic,True
71,72,0,Hey heyy!!!I....wanna be a rockstar #vscocam  hero #vsocam #hero #spiderman http://t.co/9tuskhVYbJ,train,Jonah tweeted: 'Hey heyy!!!I....wanna be a rockstar #vscocam  hero #vsocam #hero #spiderman http://t.co/9tuskhVYbJ',Jonah was ironic,False
72,73,1,@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!! ,train,Mckenna tweeted: '@MaggieLindemann: . @xSamSecrets123 awk moment when I tweeted first #fakefan !!!!! ',Mckenna was ironic,True
73,74,0,Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z,train,Phoenix tweeted: 'Waa mockingjay part 2 tahon depan meh 20 Nov 2015 wtvr Night at the museum 3 #mustwatchb4decemberendssobssobs http://t.co/rAc6XdS56z',Phoenix was ironic,False
74,75,1,@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps ,train,William tweeted: '@AmbControl999 @HouseofCommons @Ed_Miliband @nick_clegg @David_Cameron  nice to see the ambulance service is so important to OUR mps ',William was ironic,True
75,76,1,I love finals week! #justkidding  #stressed,train,Juan tweeted: 'I love finals week! #justkidding  #stressed',Juan was ironic,True
76,77,0,"@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!",train,"James tweeted: '@gracewoods_ fucking copycat, although you're name is mint and the act we share it is probably a cause for alcohol filled celebration!!!'",James was ironic,False
77,78,0,Literally cried when I woke up because I know what this day has in store for me #TheStartOfTechWeek  Ready #JustShootMeKnow,train,Antoine tweeted: 'Literally cried when I woke up because I know what this day has in store for me #TheStartOfTechWeek  Ready #JustShootMeKnow',Antoine was ironic,False
78,79,0,@RashawnFranklin Because I disagree w/ you? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards.,train,Mckinzey tweeted: '@RashawnFranklin Because I disagree w/ you? Trading three picks for one when you have glaring holes at numerous positions is ass-backwards.',Mckinzey was ironic,False
79,80,1,.@nypost .@Cameron_Gray Oh that makes it all better!!! ,train,Thiago tweeted: '.@nypost .@Cameron_Gray Oh that makes it all better!!! ',Thiago was ironic,True
80,81,0,Why didn't I start watching the tudors earlier? #iloveit,train,Angel tweeted: 'Why didn't I start watching the tudors earlier? #iloveit',Angel was ironic,False
81,82,0,@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7,train,Kyle tweeted: '@guntrust http://t.co/8ICPDcAoNQ #CHRISTMAS #GIFT GET STARTED AT MAKING MONEY IN SOCIAL MEDIA @ https://t.co/cpJZkEgNe7',Kyle was ironic,False
82,83,0,"don't knw how to react everytime sum1 says me being in a wheelchair ""inspires"" them! im just living they same you are dude",train,"Giavanna tweeted: 'don't knw how to react everytime sum1 says me being in a wheelchair ""inspires"" them! im just living they same you are dude'",Giavanna was ironic,False
83,84,0,GET AHT A TAHN!|The Made in PGH Gift Guide https://t.co/ziTWyuzN6a via @getfitpgh,train,Jameson tweeted: 'GET AHT A TAHN!|The Made in PGH Gift Guide https://t.co/ziTWyuzN6a via @getfitpgh',Jameson was ironic,False
84,85,0,On my lunch break so sleepy:sleeping_face:,train,Lena tweeted: 'On my lunch break so sleepy:sleeping_face:',Lena was ironic,False
85,86,1,#Work#Trains#TheGrind#London#Business#MyHappyFace http://t.co/fdE2iQpuQz,train,Laniya tweeted: '#Work#Trains#TheGrind#London#Business#MyHappyFace http://t.co/fdE2iQpuQz',Laniya was ironic,True
86,87,1,"dude said I better think hard , so he can take me to cheddars lmao ! ",train,"Riley tweeted: 'dude said I better think hard , so he can take me to cheddars lmao ! '",Riley was ironic,True
87,88,0,My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM,train,Nicolas tweeted: 'My #Christmas ritual...part one. #HowTheGrinchStoleChristmas http://t.co/yIJ6tiHmsM',Nicolas was ironic,False
88,89,0,Overcast at Creso. #todayimloving #beachwalk #crescenthead http://t.co/daEk2DAjBg,train,Triston tweeted: 'Overcast at Creso. #todayimloving #beachwalk #crescenthead http://t.co/daEk2DAjBg',Triston was ironic,False
89,90,0,2014 can't end fast enough! Stupid dead battery.,train,Nancy tweeted: '2014 can't end fast enough! Stupid dead battery.',Nancy was ironic,False
90,91,1,Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee,train,Cristal tweeted: 'Not even 8am and I can already see this is going to be a wonderful day  #needmorecoffee',Cristal was ironic,True
91,92,1,"I have an idea, how about 911 operators don't ever describe race?||And police have to wear color blind glasses?||",train,"Kenyatta tweeted: 'I have an idea, how about 911 operators don't ever describe race?||And police have to wear color blind glasses?||'",Kenyatta was ironic,True
92,93,1,"@bustedcoverage  but Russell is a good christian fella, he wouldn't do that. ",train,"Austin tweeted: '@bustedcoverage  but Russell is a good christian fella, he wouldn't do that. '",Austin was ironic,True
93,94,0,"Apparently my youth group thinks ""Are you kidding me?"" is my default expression--or ""nomal face."" #areyoukiddingme http://t.co/dBARs2XXTa",train,"Catherine tweeted: 'Apparently my youth group thinks ""Are you kidding me?"" is my default expression--or ""nomal face."" #areyoukiddingme http://t.co/dBARs2XXTa'",Catherine was ironic,False
94,95,1,"@jaymohr37  #PSA Hey Jay, I tuned in when u said ""why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th ",train,"Parker tweeted: '@jaymohr37  #PSA Hey Jay, I tuned in when u said ""why all the cocaine talk today....after tweeting coke joke saw it's Escobar's 65th '",Parker was ironic,True
95,96,0,Interviewed a turkey & here's what he had to say http://t.co/8fTsTAoTa1 #Thanksgiving,train,Mason tweeted: 'Interviewed a turkey & here's what he had to say http://t.co/8fTsTAoTa1 #Thanksgiving',Mason was ironic,False
96,97,1,Planned on an early night last night.. Oh yaa course that happened..  #gotinterupted,train,Daniel tweeted: 'Planned on an early night last night.. Oh yaa course that happened..  #gotinterupted',Daniel was ironic,True
97,98,1,@MaggieWinter21 your last retweet though ,train,Owen tweeted: '@MaggieWinter21 your last retweet though ',Owen was ironic,True
98,99,1,2v4 S&D matches are just so fun... ,train,Vincen tweeted: '2v4 S&D matches are just so fun... ',Vincen was ironic,True
99,100,1,i just loveee bein short and having my sweatpants go all the way under my feet its so fun... :pile_of_poo:,train,Connor tweeted: 'i just loveee bein short and having my sweatpants go all the way under my feet its so fun... :pile_of_poo:',Connor was ironic,True
100,101,1,I love waking up at 8 am on a Saturday morning after going to bed at midnight ,train,Ashlyn tweeted: 'I love waking up at 8 am on a Saturday morning after going to bed at midnight ',Ashlyn was ironic,True
101,102,1,"A day where  ruled @twitter, I got followed by @Sarcasmia. Wht a  day!! Lollllll.",train,"Asher tweeted: 'A day where  ruled @twitter, I got followed by @Sarcasmia. Wht a  day!! Lollllll.'",Asher was ironic,True
102,103,0,Jusuf Nurkic #Bulls RT @JonathanTjarks: He clearly has a lot of talent. Kind of amazing that Denver got him and Gary Harris for McDermott.,train,Shane tweeted: 'Jusuf Nurkic #Bulls RT @JonathanTjarks: He clearly has a lot of talent. Kind of amazing that Denver got him and Gary Harris for McDermott.',Shane was ironic,False
103,104,0,I don't even have progress on my thesis tas preparations for our event this thursday :weary_face:,train,Zyaire tweeted: 'I don't even have progress on my thesis tas preparations for our event this thursday :weary_face:',Zyaire was ironic,False
104,105,1,Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014,train,Jordan tweeted: 'Gym and I are gonna have a reeeaaalll nice date tomorrow.  #imgoingtostruggle #VSFS2014',Jordan was ironic,True
105,106,0,Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? Even motel 6 can do better than that. #Zing,train,Carson tweeted: 'Sony pulled a movie bc we're scared of a country that can't even keep its lights on at night? Even motel 6 can do better than that. #Zing',Carson was ironic,False
106,107,0,Had a nice 3 hour nap. Picking up my Chinese take-out and set to watch #GuardiansOfTheGalaxy @MyzzCryz I added water chestnuts to my dinner,train,Delilah tweeted: 'Had a nice 3 hour nap. Picking up my Chinese take-out and set to watch #GuardiansOfTheGalaxy @MyzzCryz I added water chestnuts to my dinner',Delilah was ironic,False
107,108,0,@jepischke @djdurkin The Bears are probably the worst franchise in football at the moment.,train,Devonte tweeted: '@jepischke @djdurkin The Bears are probably the worst franchise in football at the moment.',Devonte was ironic,False
108,109,1,I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys :expressionless_face::expressionless_face::expressionless_face:. Way to go ,train,Addisyn tweeted: 'I'm so pissed off at Chicago. Like the people at the airport ruined so many peoples chances of ever meeting the boys :expressionless_face::expressionless_face::expressionless_face:. Way to go ',Addisyn was ironic,True
109,110,0,Hell has frozen over. Literally. #Texas2015.,train,Marios tweeted: 'Hell has frozen over. Literally. #Texas2015.',Marios was ironic,False
110,111,1,Can you write your name on a paper and take a picture ... — I can but I'm busy answering this question oh...  http://t.co/hRysVyLpBI,train,Isla tweeted: 'Can you write your name on a paper and take a picture ... — I can but I'm busy answering this question oh...  http://t.co/hRysVyLpBI',Isla was ironic,True
111,112,0,Its a marshmallow world in the winter :multiple_musical_notes: #getthisoutofmyhead,train,Logan tweeted: 'Its a marshmallow world in the winter :multiple_musical_notes: #getthisoutofmyhead',Logan was ironic,False
112,113,1,Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun ,train,Acadia tweeted: 'Taking the bike through rainy and cold dark streets to the dentist. Yaaaay. #Somuchfun ',Acadia was ironic,True
113,114,1,Reading about Barack Obama in the Barack #Obama plaza #moneygall oh the  http://t.co/sQCIETUrpR,train,Milania tweeted: 'Reading about Barack Obama in the Barack #Obama plaza #moneygall oh the  http://t.co/sQCIETUrpR',Milania was ironic,True
114,115,0,that is the face of a tired man hahahahah,train,Lila tweeted: 'that is the face of a tired man hahahahah',Lila was ironic,False
115,116,1,We want turkey!! ,train,Aayan tweeted: 'We want turkey!! ',Aayan was ironic,True
116,117,0,@winelibrarian happy to be of some small service ;) @Case4Cleveland @brad4word,train,Emilee tweeted: '@winelibrarian happy to be of some small service ;) @Case4Cleveland @brad4word',Emilee was ironic,False
117,118,0,Choose your words carefully hurting someone feelings is not the right way to go.,train,Angella tweeted: 'Choose your words carefully hurting someone feelings is not the right way to go.',Angella was ironic,False
118,119,1,What a joke. Thanks for the detailed response and communication with your customers.  @AskPlayStation @PlayStation,train,Adella tweeted: 'What a joke. Thanks for the detailed response and communication with your customers.  @AskPlayStation @PlayStation',Adella was ironic,True
119,120,0,@MohammadFarooq_ Asalamoalekum... :smiling_face_with_open_mouth: kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. :smiling_face_with_halo:,train,Angelique tweeted: '@MohammadFarooq_ Asalamoalekum... :smiling_face_with_open_mouth: kesay mizaj ? Thank you so much. It was posted on 2nd December 2013. Already there. :smiling_face_with_halo:',Angelique was ironic,False
