	premise	hypothesis	type-of-inference	metadata	label
59	Nothing i love more than wearing flip flops when its raining.	I hate wearing flip flops when its raining.	sarcasm	{'snum': '379155126897754112-2', 'incongruency': 'implicit'}	?
60	Nothing i love more than wearing flip flops when its raining.	I hate it when it rains and I'm out in flip flops.	sarcasm	{'snum': '379155126897754112-3', 'incongruency': 'implicit'}	?
61	Nothing i love more than wearing flip flops when its raining.	I hate wearing flip flops when it's raining.	sarcasm	{'snum': '379155126897754112-4', 'incongruency': 'implicit'}	?
62	Nothing i love more than wearing flip flops when its raining.	I hate when I am wearing flip flops and it starts raining.	sarcasm	{'snum': '379155126897754112-5', 'incongruency': 'implicit'}	?
63	Gotta read 70ish+ pages today #great #assignedreadings #mysundayfunday #thisshouldbefun	I have to read about 70 pages today and it won't be great or make for a fun Sunday.	sarcasm	{'snum': '379271007439048704-1', 'incongruency': 'implicit'}	?
64	Gotta read 70ish+ pages today #great #assignedreadings #mysundayfunday #thisshouldbefun	Gotta read 70ish+ page today, this won't be fun.	sarcasm	{'snum': '379271007439048704-2', 'incongruency': 'implicit'}	?
65	Gotta read 70ish+ pages today #great #assignedreadings #mysundayfunday #thisshouldbefun	I have to read 70ish+ pages today. This is bad.	sarcasm	{'snum': '379271007439048704-3', 'incongruency': 'implicit'}	?
66	Gotta read 70ish+ pages today #great #assignedreadings #mysundayfunday #thisshouldbefun	Gotta read 70ish+ pages today #notgreat #assignedreadings #mysundaynotfunday #thiswillnotbefun	sarcasm	{'snum': '379271007439048704-4', 'incongruency': 'implicit'}	?
67	Thank goodness for Matt Dunigan, if he wasn't cheering for the #Argos, I don't know how the #Argos would be winning. #CFL	Matt Dunigan is cheering for the Argos and it does not have an effect on the Argos winning	sarcasm	{'snum': '379100182282915842-1', 'incongruency': 'implicit'}	?
68	Thank goodness for Matt Dunigan, if he wasn't cheering for the #Argos, I don't know how the #Argos would be winning. #CFL	I already know Argos are winning, Matt Dunigan doesn't have to cheer for me to understand.	sarcasm	{'snum': '379100182282915842-2', 'incongruency': 'implicit'}	?
69	Thank goodness for Matt Dunigan, if he wasn't cheering for the #Argos, I don't know how the #Argos would be winning. #CFL	The Argos would be winning even if Matt Dunigan wasn't cheering for them.	sarcasm	{'snum': '379100182282915842-3', 'incongruency': 'implicit'}	?
70	Thank goodness for Matt Dunigan, if he wasn't cheering for the #Argos, I don't know how the #Argos would be winning. #CFL	Thank goodness for Matt Dunigan, if he wasn't cheering for the #Argos,the #Argos would still be winning. #CFL	sarcasm	{'snum': '379100182282915842-4', 'incongruency': 'implicit'}	?
71	Thank goodness for Matt Dunigan, if he wasn't cheering for the #Argos, I don't know how the #Argos would be winning. #CFL	No thanks for Matt Dunigan, if he wasn't cheering for the #Argos, I don't know how the #Argos would be winning. #CFL	sarcasm	{'snum': '379100182282915842-5', 'incongruency': 'implicit'}	?
72	Cue all the people picking a side becos of race. You guys are SOOOO cool. .	All the people picking a side becos of race are not cool	sarcasm	{'snum': '379103684715487232-1', 'incongruency': 'implicit'}	?
73	Cue all the people picking a side becos of race. You guys are SOOOO cool. .	Cue all the people picking a side becos of race. You guys are NOT cool. .	sarcasm	{'snum': '379103684715487232-2', 'incongruency': 'implicit'}	?
74	Cue all the people picking a side becos of race. You guys are SOOOO cool. .	Cue all the people picking a side becos of race. You guys are so uncool. .	sarcasm	{'snum': '379103684715487232-3', 'incongruency': 'implicit'}	?
75	Cue all the people picking a side becos of race. You guys are SOOOO cool. .	Cue all the people picking a side becos of race. You guys are not cool. .	sarcasm	{'snum': '379103684715487232-4', 'incongruency': 'implicit'}	?
76	Cue all the people picking a side becos of race. You guys are SOOOO cool. .	Now everyone will start to announce they've picked a side because of race.  People who do that are really uncool.	sarcasm	{'snum': '379103684715487232-5', 'incongruency': 'implicit'}	?
77	I hate half the people in the cab right now #greatestbirthdayever	I hate half the people in the cab right now and it is making for a bad birthday	sarcasm	{'snum': '379045469630259201-1', 'incongruency': 'explicit'}	?
78	I hate half the people in the cab right now #greatestbirthdayever	I love half the people in the cab right now.	sarcasm	{'snum': '379045469630259201-2', 'incongruency': 'explicit'}	?
79	I hate half the people in the cab right now #greatestbirthdayever	I hate half the people in the cab right now. This was the worst birthday ever.	sarcasm	{'snum': '379045469630259201-3', 'incongruency': 'explicit'}	?
80	I hate half the people in the cab right now #greatestbirthdayever	I hate half the people in the cab right now #worstbirthdayever	sarcasm	{'snum': '379045469630259201-4', 'incongruency': 'explicit'}	?
81	I hate half the people in the cab right now #greatestbirthdayever	I hate half the people in the cab right now #worstbirthdayever	sarcasm	{'snum': '379045469630259201-5', 'incongruency': 'explicit'}	?
82	Based on her book and tweets, I'd love to hang out with ToUser #nofilter #hilarious - all characteristics I love	Based on her books and tweets I would hate to hang out with @user	sarcasm	{'snum': '386191495662800896-1', 'incongruency': 'explicit'}	?
83	Based on her book and tweets, I'd love to hang out with ToUser #nofilter #hilarious - all characteristics I love	Based on her book and tweets, I'd hate to hang out with	sarcasm	{'snum': '386191495662800896-2', 'incongruency': 'explicit'}	?
84	Based on her book and tweets, I'd love to hang out with ToUser #nofilter #hilarious - all characteristics I love	Based on her book and tweets, I'd dislike hanging out with User.	sarcasm	{'snum': '386191495662800896-3', 'incongruency': 'explicit'}	?
85	Based on her book and tweets, I'd love to hang out with ToUser #nofilter #hilarious - all characteristics I love	Based on her book and tweets, I'd hate to hang out with @User #nofilter #hilarious - all characteristics I hate	sarcasm	{'snum': '386191495662800896-4', 'incongruency': 'explicit'}	?
86	Happy to be at work today #holidays	I dislike that I am at work today, which is a holiday	sarcasm	{'snum': '399978376813109248-1', 'incongruency': 'implicit'}	?
87	Happy to be at work today #holidays	Sad to be at work today.	sarcasm	{'snum': '399978376813109248-2', 'incongruency': 'implicit'}	?
88	Happy to be at work today #holidays	I'm not happy to be at work today.	sarcasm	{'snum': '399978376813109248-3', 'incongruency': 'implicit'}	?
89	Happy to be at work today #holidays	I'd really rather not be at work today.	sarcasm	{'snum': '399978376813109248-4', 'incongruency': 'implicit'}	?
90	Happy to be at work today #holidays	Unhappy to be at work today #holidays	sarcasm	{'snum': '399978376813109248-5', 'incongruency': 'implicit'}	?
91	#boxing because what's hotter than 2 muscular men beating each other up? #butnotreally #hotginger	Nothing is hot about 2 muscular men beating each other up.	sarcasm	{'snum': '379072940744396800-1', 'incongruency': 'explicit'}	?
92	#boxing because what's hotter than 2 muscular men beating each other up? #butnotreally #hotginger	It's not hot when 2 muscular men beating each other up.	sarcasm	{'snum': '379072940744396800-2', 'incongruency': 'explicit'}	?
93	#boxing because what's hotter than 2 muscular men beating each other up? #butnotreally #hotginger	#boxing because nothing is worse than 2 muscular men beating each other up	sarcasm	{'snum': '379072940744396800-3', 'incongruency': 'explicit'}	?
94	#boxing because what's hotter than 2 muscular men beating each other up? #butnotreally #hotginger	I don't like the violence of boxing.	sarcasm	{'snum': '379072940744396800-4', 'incongruency': 'explicit'}	?
95	#boxing because what's hotter than 2 muscular men beating each other up? #butnotreally #hotginger	Watching 2 men beat each other up isn't hot.	sarcasm	{'snum': '379072940744396800-5', 'incongruency': 'explicit'}	?
96	Adios Wendy's see you tomorrow same time ? #work #dontwannago #justgotoff #bedtime http://t.co/8fz6o4Kbac	I'm off work at Wendy's and don't want to go back to work tomorrow.	sarcasm	{'snum': '381981073422688257-1', 'incongruency': 'explicit'}	?
97	Adios Wendy's see you tomorrow same time ? #work #dontwannago #justgotoff #bedtime http://t.co/8fz6o4Kbac	I just finished my shift working for Wendys. I have to do it again tomorrow although I don't want to go. It's my bedtime, goodnight.	sarcasm	{'snum': '381981073422688257-2', 'incongruency': 'explicit'}	?
98	Adios Wendy's see you tomorrow same time ? #work #dontwannago #justgotoff #bedtime http://t.co/8fz6o4Kbac	I don't want to go to work at Wendy's tomorrow.	sarcasm	{'snum': '381981073422688257-3', 'incongruency': 'explicit'}	?
99	Adios Wendy's see you tomorrow same time ? #work #dontwannago #justgotoff #bedtime http://t.co/8fz6o4Kbac	I'm not excited to be back at Wendy's tomorrow to work again.	sarcasm	{'snum': '381981073422688257-4', 'incongruency': 'explicit'}	?
100	Thanks drunk me for pictureslipping a horrible picture and filling the TL with awkward picturetures.	I'm mad at drunk me for pictureslipping a horrible picture and filling the Time Line with awkward pictures.	sarcasm	{'snum': '379253304184041472-1', 'incongruency': 'explicit'}	?
101	Thanks drunk me for pictureslipping a horrible picture and filling the TL with awkward picturetures.	I wish drunk me didn't pictureslip a horrible picture and fill the TL with awkward pictures.	sarcasm	{'snum': '379253304184041472-2', 'incongruency': 'explicit'}	?
102	Thanks drunk me for pictureslipping a horrible picture and filling the TL with awkward picturetures.	I pictureslipped a horrible picture and filled the TL with awkward photos when I was drunk. That's not good.	sarcasm	{'snum': '379253304184041472-3', 'incongruency': 'explicit'}	?
103	Thanks drunk me for pictureslipping a horrible picture and filling the TL with awkward picturetures.	No Thanks drunk me for pictureslipping a horrible picture and filling the TL with awkward picturetures.	sarcasm	{'snum': '379253304184041472-4', 'incongruency': 'explicit'}	?
104	Thanks drunk me for pictureslipping a horrible picture and filling the TL with awkward picturetures.	I will regret being so drunk that I not only took a lot of pictures, but that I also filled the TL with them, and wrote an incoherent tweet.	sarcasm	{'snum': '379253304184041472-5', 'incongruency': 'explicit'}	?
105	He has no enemies, but is intensely disliked by his friends lol	He has plenty of enemies and people he thinks are his friends intensely dislike him.	sarcasm	{'snum': '387999488876756993-1', 'incongruency': 'explicit'}	?
106	He has no enemies, but is intensely disliked by his friends lol	He has no enemies, and is intensely loved by his friends lol	sarcasm	{'snum': '387999488876756993-2', 'incongruency': 'explicit'}	?
107	He has no enemies, but is intensely disliked by his friends lol	He has no enemies and his friends like him.	sarcasm	{'snum': '387999488876756993-3', 'incongruency': 'explicit'}	?
108	He has no enemies, but is intensely disliked by his friends lol	No one really likes him.	sarcasm	{'snum': '387999488876756993-4', 'incongruency': 'explicit'}	?
109	if anyone has #karma coming for them it would be the bilemas... congratulations ToUser you picked a real winner.	If anyone has karma coming for them it would be the bilemas... @user you picked a loser.	sarcasm	{'snum': '379132951805452288-1', 'incongruency': 'implicit'}	?
110	if anyone has #karma coming for them it would be the bilemas... congratulations ToUser you picked a real winner.	if anyone has karma coming for them it would be the bilemas. They are awful.	sarcasm	{'snum': '379132951805452288-2', 'incongruency': 'implicit'}	?
111	if anyone has #karma coming for them it would be the bilemas... congratulations ToUser you picked a real winner.	If anyone has karma coming for them, it would be the bilemas. @User, you picked a real loser.	sarcasm	{'snum': '379132951805452288-3', 'incongruency': 'implicit'}	?
112	if anyone has #karma coming for them it would be the bilemas... congratulations ToUser you picked a real winner.	if anyone has #karma coming for them it would be the bilemas... congratulations @User you picked a real loser.	sarcasm	{'snum': '379132951805452288-4', 'incongruency': 'implicit'}	?
113	Is dry skin holding you back? Why yes, Nivea, it is. Thank you. My life is forever better because of you.	Dry skin isn't holding anyone back and Nivea is being dramatic in it's claim. My life is minimally improved because of you.	sarcasm	{'snum': '409569229059665920-1', 'incongruency': 'implicit'}	?
114	Is dry skin holding you back? Why yes, Nivea, it is. Thank you. My life is forever better because of you.	Is dry skin holding you back? No, Nivea, it isn't. I find this question ridiculous. You have not improved my life substantially.	sarcasm	{'snum': '409569229059665920-2', 'incongruency': 'implicit'}	?
115	Is dry skin holding you back? Why yes, Nivea, it is. Thank you. My life is forever better because of you.	Is dry skin holding you back? Yes, it is, however my life isn't better because you asked, Nivea.	sarcasm	{'snum': '409569229059665920-3', 'incongruency': 'implicit'}	?
116	Is dry skin holding you back? Why yes, Nivea, it is. Thank you. My life is forever better because of you.	Is dry skin holding you back? Why yes, Nivea, it is. Thank you. My life is no better because of you.	sarcasm	{'snum': '409569229059665920-4', 'incongruency': 'implicit'}	?
117	now time for an annotated bibliography #fun #lol	I have to do an annotated bibliography and its won't be fun	sarcasm	{'snum': '387079826118430721-1', 'incongruency': 'implicit'}	?
118	now time for an annotated bibliography #fun #lol	I have to do an annotated bibliography now, which is not fun.	sarcasm	{'snum': '387079826118430721-2', 'incongruency': 'implicit'}	?
119	now time for an annotated bibliography #fun #lol	now time for an annotated bibliography #boring #lol	sarcasm	{'snum': '387079826118430721-3', 'incongruency': 'implicit'}	?
120	now time for an annotated bibliography #fun #lol	Now it's time for an annotated bibliography. This isn't fun.	sarcasm	{'snum': '387079826118430721-4', 'incongruency': 'implicit'}	?
121	now time for an annotated bibliography #fun #lol	I will not enjoy making this bibliography.	sarcasm	{'snum': '387079826118430721-5', 'incongruency': 'implicit'}	?
122	Finally thought of a tattoo idea!! A Camel on my toe... #brilliant	A tattoo of a camel on my toe would be a terrible idea	sarcasm	{'snum': '385478950254022656-1', 'incongruency': 'implicit'}	?
123	Finally thought of a tattoo idea!! A Camel on my toe... #brilliant	I thought of a tattoo idea. A camel on my toe. It's not so brilliant.	sarcasm	{'snum': '385478950254022656-2', 'incongruency': 'implicit'}	?
124	Finally thought of a tattoo idea!! A Camel on my toe... #brilliant	A tattoo of a camel on my toe would be a really stupid tattoo.	sarcasm	{'snum': '385478950254022656-3', 'incongruency': 'implicit'}	?
125	Finally thought of a tattoo idea!! A Camel on my toe... #brilliant	Finally thought of a tattoo idea!! A Camel on my toe... #notbrilliant	sarcasm	{'snum': '385478950254022656-4', 'incongruency': 'implicit'}	?
126	Finally thought of a tattoo idea!! A Camel on my toe... #brilliant	I thought of a ridiculous and inappropriate tattoo!  A Camel on my toe...  #What a silly reference to cameltoe	sarcasm	{'snum': '385478950254022656-5', 'incongruency': 'implicit'}	?
127	- smh, children fighting over girls. Smh. Way to start off 2014 ! ??	Children fighting over girls is not a great way to start off 2014	sarcasm	{'snum': '418292208383447040-1', 'incongruency': 'explicit'}	?
128	- smh, children fighting over girls. Smh. Way to start off 2014 ! ??	smh, children fighting over girls. Smh. That's a bad way to start off 2014.	sarcasm	{'snum': '418292208383447040-2', 'incongruency': 'explicit'}	?
129	- smh, children fighting over girls. Smh. Way to start off 2014 ! ??	smh, children fighting over girls. Smh. not a good way to start off 2014 ! ??	sarcasm	{'snum': '418292208383447040-3', 'incongruency': 'explicit'}	?
130	- smh, children fighting over girls. Smh. Way to start off 2014 ! ??	- smh, children fighting over girls. Smh. Bad way to start off 2014.	sarcasm	{'snum': '418292208383447040-4', 'incongruency': 'explicit'}	?
131	- smh, children fighting over girls. Smh. Way to start off 2014 ! ??	Children fighting over girls is no way to start off the year 2014.	sarcasm	{'snum': '418292208383447040-5', 'incongruency': 'explicit'}	?
132	Making butternut squash soup for tea. Kids'll be happy!	Making butternut squash soup for tea. Kids'll not be happy!	sarcasm	{'snum': '390869947490242560-1', 'incongruency': 'implicit'}	?
133	Making butternut squash soup for tea. Kids'll be happy!	The kids don't like when I make butternut squash soup for tea.	sarcasm	{'snum': '390869947490242560-2', 'incongruency': 'implicit'}	?
134	Making butternut squash soup for tea. Kids'll be happy!	Making butternut squash soup for tea. The kids won't be happy.	sarcasm	{'snum': '390869947490242560-3', 'incongruency': 'implicit'}	?
135	Making butternut squash soup for tea. Kids'll be happy!	Making butternut squash soup for tea.  Kids won't be happy!	sarcasm	{'snum': '390869947490242560-4', 'incongruency': 'implicit'}	?
136	I just love when I get pushed to the side. Feels great	I hate when I get pushed to the side. Feels terrible	sarcasm	{'snum': '379021678463840257-1', 'incongruency': 'explicit'}	?
137	I just love when I get pushed to the side. Feels great	I just hate when I get pushed to the side.  Feels terrible.	sarcasm	{'snum': '379021678463840257-2', 'incongruency': 'explicit'}	?
138	I just love when I get pushed to the side. Feels great	I hate it when I get pushed to the side. Feels horrible	sarcasm	{'snum': '379021678463840257-3', 'incongruency': 'explicit'}	?
139	I just love when I get pushed to the side. Feels great	I hate getting pushed to the side. It feels terrible.	sarcasm	{'snum': '379021678463840257-4', 'incongruency': 'explicit'}	?
140	I just love when I get pushed to the side. Feels great	I just hate it when I get pushed to the side.  Feels really bad.	sarcasm	{'snum': '379021678463840257-5', 'incongruency': 'explicit'}	?
141	All day with kinder kids and now a lesson plan....WOOOH I LOVE THE TEACHER LIFE	All day with kinder kids and now a lesson plan.... I hate being a teacher.	sarcasm	{'snum': '382969166635868160-1', 'incongruency': 'implicit'}	?
142	All day with kinder kids and now a lesson plan....WOOOH I LOVE THE TEACHER LIFE	All day with kinder kids and now a lesson plan....I HATE THE TEACHER LIFE	sarcasm	{'snum': '382969166635868160-2', 'incongruency': 'implicit'}	?
143	All day with kinder kids and now a lesson plan....WOOOH I LOVE THE TEACHER LIFE	All day with kinder kids and now a lesson plan.  I dislike being a teacher.	sarcasm	{'snum': '382969166635868160-3', 'incongruency': 'implicit'}	?
144	All day with kinder kids and now a lesson plan....WOOOH I LOVE THE TEACHER LIFE	All day with kinder kids and now a lesson plan....WOOOH I HATE THE TEACHER LIFE	sarcasm	{'snum': '382969166635868160-4', 'incongruency': 'implicit'}	?
145	All day with kinder kids and now a lesson plan....WOOOH I LOVE THE TEACHER LIFE	All day with kinder kids and now a lesson plan. The life of a teacher is rough.	sarcasm	{'snum': '382969166635868160-5', 'incongruency': 'implicit'}	?
